N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;186.4187152587329;214.740833436355;258.0315217019642
2;150.87106023505834;234.47258495279107;275.13950973788485
3;164.5393280477605;234.61046371097672;276.90717340609734
4;157.0043460878146;232.53405968527917;270.6197934337188
5;127.69078887816306;224.52319100691892;270.73448407074847
6;176.8524663148027;223.71103650726076;253.17288887053394
7;152.17429822514603;219.2212061679797;241.37228630453862
8;157.14116597952417;217.23474081955985;251.56271971128572
9;132.4090689103314;213.95188679171918;246.84245427890738
10;134.86671095335697;210.31532914245952;246.4638231403545
11;148.7851276050242;207.66184302342984;247.69174644307301
12;134.81865060289059;202.14037088077245;227.47491525265735
13;140.75073968722788;196.50355371560266;230.66525206638454
14;149.80811150716852;195.93716156123435;228.08604180711518
15;144.17884863268233;193.11335683384084;253.2843539595119
16;141.15570114560842;190.20855234883544;248.85742983054627
17;133.2073514704069;184.44748847292445;242.60042635799354
18;118.94872286904962;179.35544399541314;237.35197458868194
19;128.52729793959287;174.70610085561097;231.21807277034276
20;119.70155548163376;169.22501560843352;221.30508696587324
