N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.14353236992411686;0.25577455470868926;0.31652412481132447;0.5468531374656459
2;0.06497840831773573;0.14639414807442774;0.1432933479414974;0.3147637283324147
3;0.04098039734435549;0.12016168755814258;0.09037184023854791;0.2583610156280732
4;0.022769142854387952;0.10601239897669748;0.05021155171129253;0.22793846878636037
5;0.0128203099008433;0.10350587368754406;0.02827193178319114;0.22254916015926757
6;0.009536444528212876;0.10693708112558804;0.021030202174604697;0.22992663842657882
7;0.006049069514935792;0.10657592899290597;0.01333968382985783;0.22915012110485897
8;0.0038023187011442814;0.09527431520033867;0.008385046521350626;0.20485039232257904
9;0.0022591406870687844;0.0931801878808803;0.004981960021827469;0.2003477852761528
10;0.0013660232805817489;0.09299948318033113;0.0030124168059555063;0.1999592500374141
11;0.0011621983854247842;0.09271996884446933;0.0025629328561786943;0.1993582630742365
12;0.0006901530254620348;0.09271267825179932;0.0015219569110838866;0.19934258748774109
13;0.0005827666630329917;0.09236214993198132;0.0012851436096488506;0.19858891254729252
14;0.00035360504439720857;0.09225935968374617;0.0007797859623293947;0.19836790206158472
15;0.00017683343677968994;0.09224002550146233;0.0003899611554080901;0.19832633141562675
16;9.660651725814875e-05;0.09223367970755768;0.00021304109548509435;0.19831268725173817
17;5.572280716541296e-05;0.09223066803005878;0.0001228824743811257;0.1983062118095804
18;4.4848318129123733e-05;0.09222913906226617;9.890155546505444e-05;0.1983029243584819
19;3.136914862035166e-05;0.09222916432253685;6.917667644157569e-05;0.19830297867087815
20;1.7925532864366247e-05;0.09222908318835579;3.953020217439349e-05;0.19830280422334962
21;1.5945180607822555e-05;0.09222908387942108;3.516303910760912e-05;0.198302805709217
22;1.1083642919601658e-05;0.09222911811776179;2.4442154593440606e-05;0.19830287932546403
23;8.247009246730456e-06;0.09222907731776867;1.8186680715383758e-05;0.19830279160093325
24;6.986960869822899e-06;0.09222906481310585;1.54079645976784e-05;0.19830276471451502
25;6.733769990802304e-06;0.09222906387215578;1.4849616530029377e-05;0.19830276269136754
26;6.260427938433295e-06;0.09222905927355571;1.3805781059733057e-05;0.19830275280386506
27;5.365456374717296e-06;0.09222904778325634;1.1832148971821449e-05;0.19830272809844127
28;5.116177581147215e-06;0.09222904427275526;1.1282428013333078e-05;0.19830272055047282
29;4.554013843187989e-06;0.09222904348841464;1.004271891320274e-05;0.19830271886405312
30;4.0719617382356616e-06;0.09222904394412536;8.979675637918117e-06;0.19830271984388192
31;3.467627805680251e-06;0.09222904353923989;7.646970902414832e-06;0.19830271897333307
32;3.24972691146286e-06;0.09222904316578777;7.166445917881822e-06;0.1983027181703694
33;3.161228578638451e-06;0.0922290436274474;6.971285360306448e-06;0.19830271916298903
34;2.8684188110032184e-06;0.09222904346718873;6.325567913531548e-06;0.19830271881841505
35;2.8132079432445864e-06;0.0922290428186414;6.203814391266045e-06;0.19830271742396605
36;2.7168629617515643e-06;0.0922290430287983;5.991350046371838e-06;0.19830271787582676
37;2.640781078752935e-06;0.09222904301564588;5.823570809932895e-06;0.19830271784754763
38;2.3841504225372907e-06;0.0922290430075045;5.257637188817629e-06;0.19830271783004272
39;2.2064691743961477e-06;0.09222904299981603;4.865806401149359e-06;0.19830271781351166
40;2.1401066752985357e-06;0.09222904248979626;4.719460793128889e-06;0.19830271671691233
41;2.0998397790267114e-06;0.09222904208601522;4.630662397979107e-06;0.19830271584873813
42;1.99186356253032e-06;0.09222904209400021;4.3925483234673775e-06;0.19830271586590673
43;1.7940903789957126e-06;0.09222904214191777;3.9564098840161315e-06;0.1983027159689348
44;1.7824354044915705e-06;0.0922290416932323;3.930707802969387e-06;0.1983027150042111
45;1.7640260153320064e-06;0.09222904178714135;3.890110578837126e-06;0.198302715206126
46;1.63831749908155e-06;0.09222904167420111;3.612892428613995e-06;0.1983027149632919
47;1.6121706895547328e-06;0.09222904162871634;3.5552322923920616e-06;0.19830271486549458
48;1.560684912741652e-06;0.09222904140791564;3.4416935104809787e-06;0.19830271439074848
49;1.4778249754329483e-06;0.09222904127761107;3.2589669997125583e-06;0.19830271411057915
50;1.4532796367960443e-06;0.09222904110917743;3.204838500097098e-06;0.19830271374842803
